title,genre,description
"The Lost City","Adventure Comedy","A novelist and a treasure hunter become unlikely partners on a dangerous jungle expedition."
"Starlight","Science Fiction Drama","A young astronaut receives a mysterious signal while traveling beyond the solar system."
"Midnight Run","Action Comedy","A reluctant driver races across the country while protecting a valuable passenger."
"Hidden Truth","Mystery Thriller","A journalist investigates a disappearance that reveals secrets buried for years."
"Summer Letters","Romance Drama","Two strangers exchange letters and slowly discover a connection across different cities."
"Ocean Deep","Adventure Science Fiction","A marine researcher discovers an unexplored world beneath the ocean."
"The Last Detective","Crime Mystery","A retired detective returns to solve one final case involving a missing witness."
"City Lights","Romance Comedy","Two ambitious young people meet while chasing their dreams in a busy city."
"Beyond Mars","Science Fiction Adventure","A crew explores an abandoned station on Mars and uncovers a forgotten mission."
"Perfect Alibi","Crime Thriller","A defense lawyer discovers that an apparently perfect alibi may be part of a larger plan."
"Road to Tomorrow","Drama","A musician travels home after years away and reconnects with old friends."
"Jungle Quest","Adventure Family","A group of friends searches for a legendary treasure deep in a rainforest."
"Parallel Hearts","Science Fiction Romance","Two people from alternate realities find a way to communicate with each other."
"Cold Case Files","Crime Mystery Thriller","Investigators reopen an unsolved case after a new clue appears."
"Laughing Again","Comedy Drama","A comedian rebuilding her career finds unexpected inspiration from her family."
